Должность,ЗП от,ЗП до,Валюта,Ссылка
Инженер-конструктор,75000,95000,руб.,https://adsrv.hh.ru/click?b=367435&c=45&meta=vUPVS79ZCFq3KAxsWqmX6hhG9wRlzxYP8rYikcmCl74MEcy0C6UW3NuxrZ8xlNDGJy-X7Zd33y2J4vwCE5hVipEfCqt91QVqf5VoLKKf0LK9Q251WzFcZFJsH-U-RBeqkMgiowR3zcu-y0RhG6W2nDWPwsecwQcu7-zUbiKArwY3OmActOjvqE1UG92dsbbiT5jBRWoWQCCug8IoFwe3ug%3D%3D&place=35&clickType=link_to_vacancy
Ведущий Инженер-конструктор,110000,115000,руб.,https://adsrv.hh.ru/click?b=367440&c=5&meta=tzOT7MvQPXwLFOdcOdQfbY8_j4YczZu3WREPDwsLYySU4OeM16x50pL1ztI1Sicw-djbNr1HFb2Cc8RreEqNBCIp1n2zpiAg5y_UE2MtnWCkZQBR3bThXl1w2L9AOjQrGQ_W34Oci4_SEwdaAYWhRkQgloSDZaSYn_vLdbm28F9-To_JXRFjo330yNL-TNHwXKAmVmcxHpoHUqTQxGiK0g%3D%3D&place=36&clickType=link_to_vacancy
Инженер-конструктор,50000,120000,руб.,https://hh.ru/vacancy/77125033?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер - конструктор (Помощник инженера-конструктора),60000,80000,руб.,https://hh.ru/vacancy/77017405?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор металлоконструкций (Autodesk Inventor),,600000,KZT,https://hh.ru/vacancy/76903100?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор / чертежник (офисные перегородки),,80000,руб.,https://hh.ru/vacancy/76940324?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,150000,200000,руб.,https://hh.ru/vacancy/73887680?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,115000,150000,руб.,https://hh.ru/vacancy/76558823?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,100000,,руб.,https://hh.ru/vacancy/76286954?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,100000,170000,руб.,https://hh.ru/vacancy/76221317?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Ведущий инженер-конструктор,100000,120000,руб.,https://hh.ru/vacancy/77145400?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
